FECHA LANCE;LATITUD;LONGITUD;No LANCE;TIPO LANCE;TALLA;
19/03/2005;15;95;35;LANATUN;73;
19/03/2005;15;95;35;LANATUN;80;
19/03/2005;15;95;35;LANATUN;79;
19/03/2005;15;95;35;LANATUN;76;
19/03/2005;15;95;35;LANATUN;73;
19/03/2005;15;95;35;LANATUN;80;
19/03/2005;15;95;35;LANATUN;77;
19/03/2005;15;95;35;LANATUN;79;
19/03/2005;15;95;35;LANATUN;80;
19/03/2005;15;95;35;LANATUN;79;
19/03/2005;15;95;35;LANATUN;76;
19/03/2005;15;95;35;LANATUN;81;
19/03/2005;15;95;35;LANATUN;78;
19/03/2005;15;95;35;LANATUN;75;
19/03/2005;15;95;35;LANATUN;77;
19/03/2005;15;95;35;LANATUN;79;
19/03/2005;15;95;35;LANATUN;81;
19/03/2005;15;95;35;LANATUN;78;
19/03/2005;15;95;35;LANATUN;79;
19/03/2005;15;95;35;LANATUN;76;
19/03/2005;15;95;35;LANATUN;73;
19/03/2005;15;95;35;LANATUN;78;
19/03/2005;15;95;35;LANATUN;72;
19/03/2005;15;95;35;LANATUN;73;
19/03/2005;15;95;35;LANATUN;81;
19/03/2005;15;95;35;LANATUN;79;
19/03/2005;15;95;35;LANATUN;81;
19/03/2005;15;95;35;LANATUN;77;
19/03/2005;15;95;35;LANATUN;81;
19/03/2005;15;95;35;LANATUN;76;
24/03/2005;15;96;41;LANATUN;80;
24/03/2005;15;96;41;LANATUN;78;
24/03/2005;15;96;41;LANATUN;82;
24/03/2005;15;96;41;LANATUN;79;
24/03/2005;15;96;41;LANATUN;83;
24/03/2005;15;96;41;LANATUN;82;
24/03/2005;15;96;41;LANATUN;88;
24/03/2005;15;96;41;LANATUN;79;
24/03/2005;15;96;41;LANATUN;81;
24/03/2005;15;96;41;LANATUN;82;
24/03/2005;15;96;41;LANATUN;82;
24/03/2005;15;96;41;LANATUN;77;
24/03/2005;15;96;41;LANATUN;81;
24/03/2005;15;96;41;LANATUN;80;
24/03/2005;15;96;41;LANATUN;85;
24/03/2005;15;96;41;LANATUN;80;
24/03/2005;15;96;41;LANATUN;84;
24/03/2005;15;96;41;LANATUN;86;
24/03/2005;15;96;41;LANATUN;78;
24/03/2005;15;96;41;LANATUN;81;
24/03/2005;15;96;41;LANATUN;82;
24/03/2005;15;96;41;LANATUN;80;
24/03/2005;15;96;41;LANATUN;80;
24/03/2005;15;96;41;LANATUN;81;
24/03/2005;15;96;41;LANATUN;83;
24/03/2005;15;96;41;LANATUN;86;
24/03/2005;15;96;41;LANATUN;78;
24/03/2005;15;96;41;LANATUN;81;
24/03/2005;15;96;41;LANATUN;79;
24/03/2005;15;96;41;LANATUN;82;
24/03/2005;15;96;41;LANATUN;81;
24/03/2005;15;96;41;LANATUN;78;
24/03/2005;15;96;41;LANATUN;81;
24/03/2005;15;96;41;LANATUN;79;
24/03/2005;15;96;41;LANATUN;83;
24/03/2005;15;96;41;LANATUN;81;
24/03/2005;15;96;41;LANATUN;76;
24/03/2005;15;96;41;LANATUN;83;
24/03/2005;15;96;41;LANATUN;84;
24/03/2005;15;96;41;LANATUN;81;
24/03/2005;15;96;41;LANATUN;89;
24/03/2005;15;96;41;LANATUN;79;
24/03/2005;15;96;41;LANATUN;80;
24/03/2005;15;96;41;LANATUN;82;
27/03/2005;15;95;44;LANATUN;79;
27/03/2005;15;95;44;LANATUN;78;
27/03/2005;15;95;44;LANATUN;77;
27/03/2005;15;95;44;LANATUN;82;
27/03/2005;15;95;44;LANATUN;80;
27/03/2005;15;95;44;LANATUN;77;
27/03/2005;15;95;44;LANATUN;81;
27/03/2005;15;95;44;LANATUN;82;
27/03/2005;15;95;44;LANATUN;79;
27/03/2005;15;95;44;LANATUN;78;
27/03/2005;15;95;44;LANATUN;81;
27/03/2005;15;95;44;LANATUN;82;
27/03/2005;15;95;44;LANATUN;79;
27/03/2005;15;95;44;LANATUN;80;
27/03/2005;15;95;44;LANATUN;79;
27/03/2005;15;95;44;LANATUN;77;
