FECHADMA;LATITUD;LONGITUD;TIPOLANCE;TALLA
30/08/2007;25;112;LANATUN;42
05/10/2007;16;117;LANATUN;42
26/01/2007;11;101;LANATUN;42
24/03/2007;15;95;LANATUN;42
24/03/2007;15;95;LANATUN;42
24/03/2007;15;95;LANATUN;42
24/03/2007;15;95;LANATUN;42
29/03/2007;15;97;LANATUN;42
29/03/2007;15;97;LANATUN;42
29/03/2007;15;97;LANATUN;42
29/03/2007;15;97;LANATUN;42
29/03/2007;15;97;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
31/03/2007;15;95;LANATUN;42
09/06/2007;16;117;LANATUN;43
19/07/2007;25;112;LANATUN;43
19/07/2007;25;112;LANATUN;43
19/07/2007;25;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
19/07/2007;25;112;LANATUN;43
19/07/2007;25;112;LANATUN;43
19/07/2007;25;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
20/07/2007;24;112;LANATUN;43
18/07/2007;25;112;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
26/07/2007;26;114;LANATUN;43
30/08/2007;25;112;LANATUN;43
30/08/2007;25;112;LANATUN;43
30/08/2007;25;112;LANATUN;43
26/01/2007;11;101;LANATUN;43
26/01/2007;11;101;LANATUN;43
26/01/2007;11;101;LANATUN;43
24/03/2007;15;95;LANATUN;43
24/03/2007;15;95;LANATUN;43
24/03/2007;15;95;LANATUN;43
24/03/2007;15;95;LANATUN;43
24/03/2007;15;95;LANATUN;43
29/03/2007;15;97;LANATUN;43
29/03/2007;15;97;LANATUN;43
31/03/2007;15;95;LANATUN;43
31/03/2007;15;95;LANATUN;43
31/03/2007;15;95;LANATUN;43
31/03/2007;15;95;LANATUN;43
19/07/2007;32;117;LANATUN;43
19/07/2007;32;117;LANATUN;43
09/06/2007;16;117;LANATUN;44
09/06/2007;16;117;LANATUN;44
09/04/2007;10;109;LANATUN;44
09/04/2007;10;109;LANATUN;44
09/04/2007;10;109;LANATUN;44
29/04/2007;20;112;LANATUN;44
19/07/2007;25;112;LANATUN;44
20/07/2007;24;112;LANATUN;44
20/07/2007;24;112;LANATUN;44
20/07/2007;24;112;LANATUN;44
20/07/2007;24;112;LANATUN;44
20/07/2007;24;112;LANATUN;44
26/07/2007;26;114;LANATUN;44
26/07/2007;26;114;LANATUN;44
26/07/2007;26;114;LANATUN;44
26/07/2007;26;114;LANATUN;44
20/07/2007;24;112;LANATUN;44
26/07/2007;26;114;LANATUN;44
26/07/2007;26;114;LANATUN;44
30/08/2007;25;112;LANATUN;44
30/08/2007;25;112;LANATUN;44
03/10/2007;16;117;LANATUN;44
24/03/2007;15;95;LANATUN;44
24/03/2007;15;95;LANATUN;44
29/03/2007;15;97;LANATUN;44
29/03/2007;15;97;LANATUN;44
29/03/2007;15;97;LANATUN;44
31/03/2007;15;95;LANATUN;44
31/03/2007;15;95;LANATUN;44
31/03/2007;15;95;LANATUN;44
31/03/2007;15;95;LANATUN;44
31/03/2007;15;95;LANATUN;44
31/03/2007;15;95;LANATUN;44
31/03/2007;15;95;LANATUN;44
31/03/2007;15;95;LANATUN;44
31/03/2007;15;95;LANATUN;44
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/06/2007;16;117;LANATUN;45
09/04/2007;10;109;LANATUN;45
09/04/2007;10;109;LANATUN;45
09/04/2007;10;109;LANATUN;45
09/04/2007;10;109;LANATUN;45
09/04/2007;10;109;LANATUN;45
17/04/2007;13;106;LANATUN;45
17/04/2007;13;106;LANATUN;45
03/05/2007;9;100;LANATUN;45
19/07/2007;25;112;LANATUN;45
19/07/2007;25;112;LANATUN;45
20/07/2007;24;112;LANATUN;45
20/07/2007;24;112;LANATUN;45
20/07/2007;24;112;LANATUN;45
20/07/2007;24;112;LANATUN;45
20/07/2007;24;112;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
19/07/2007;25;112;LANATUN;45
20/07/2007;24;112;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
26/07/2007;26;114;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
30/08/2007;25;112;LANATUN;45
26/01/2007;11;101;LANATUN;45
26/01/2007;11;101;LANATUN;45
26/01/2007;11;101;LANATUN;45
26/01/2007;11;101;LANATUN;45
24/03/2007;15;95;LANATUN;45
24/03/2007;15;95;LANATUN;45
24/03/2007;15;95;LANATUN;45
24/03/2007;15;95;LANATUN;45
29/03/2007;15;97;LANATUN;45
29/03/2007;15;97;LANATUN;45
29/03/2007;15;97;LANATUN;45
29/03/2007;15;97;LANATUN;45
29/03/2007;15;97;LANATUN;45
29/03/2007;15;97;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
